City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,codrington,0,AU,1518301502,95,-28.95,153.24,68.67,3.71
1,molochnoye,68,UA,1518301502,95,44.91,34.04,35.32,6.96
2,hermanus,56,ZA,1518301503,80,-34.42,19.24,56.07,4.72
3,hithadhoo,68,MV,1518301503,100,-0.6,73.08,81.9,3.38
4,busselton,0,AU,1518301504,100,-33.64,115.35,61.74,16.91
5,lata,80,IN,1518301504,63,30.78,78.62,28.98,2.48
6,dauriya,36,RU,1518301504,56,49.93,116.85,-7.43,15.23
7,bluff,0,AU,1518301385,69,-23.58,149.07,69.25,3.15
8,abu samrah,24,SY,1518301505,77,35.3,37.18,51.3,4.94
9,ushuaia,0,AR,1518301505,66,-54.81,-68.31,47.97,10.98
10,victoria,75,BN,1518298200,88,5.28,115.24,75.2,2.24
11,lac du bonnet,76,CA,1518301506,82,50.25,-96.06,5.49,14.23
12,katsuura,75,JP,1518298500,75,33.93,134.5,42.8,23.04
13,sao filipe,36,CV,1518301507,96,14.9,-24.5,68.85,20.71
14,namibe,0,AO,1518301507,100,-15.19,12.15,75.46,9.64
15,dingle,12,PH,1518301508,96,11.0,122.67,68.85,3.94
16,albany,90,US,1518299700,70,42.65,-73.75,46.4,10.29
17,castro,100,CL,1518301465,73,-42.48,-73.76,57.1,4.5
18,arraial do cabo,0,BR,1518296400,74,-22.97,-42.02,80.6,25.28
19,mataura,92,NZ,1518301509,85,-46.19,168.86,61.15,4.38
20,hilo,1,US,1518299760,50,19.71,-155.08,75.2,20.8
21,sibolga,24,ID,1518301510,100,1.74,98.78,68.26,2.15
22,jakarta,20,ID,1518300000,94,-6.18,106.83,77.0,4.7
23,rikitea,92,PF,1518301511,100,-23.12,-134.97,75.37,6.62
24,lebu,0,ET,1518301511,57,8.96,38.73,45.76,5.28
25,ferrol,75,ES,1518298200,100,43.48,-8.23,48.2,4.7
26,butaritari,24,KI,1518301512,100,3.07,172.79,82.35,14.67
27,vaini,56,IN,1518301512,71,15.34,74.49,67.59,3.38
28,port elizabeth,90,US,1518300660,100,39.31,-74.98,53.6,4.7
29,grindavik,75,IS,1518298200,68,63.84,-22.43,28.4,29.97
30,nuuk,40,GL,1518299400,59,64.17,-51.74,1.4,13.87
31,kumano,40,JP,1518298380,100,34.34,132.59,44.6,17.22
32,hobart,75,AU,1518300000,44,-42.88,147.33,59.0,18.34
33,talcahuano,0,CL,1518296400,46,-36.72,-73.12,69.8,21.92
34,shilovo,90,RU,1518298200,92,51.55,39.09,26.6,13.42
35,punta arenas,20,CL,1518300000,61,-53.16,-70.91,50.0,11.41
36,murwillumbah,0,AU,1518300000,74,-28.33,153.4,80.6,13.87
37,east london,92,ZA,1518301515,100,-33.02,27.91,72.18,17.47
38,torbay,90,CA,1518300000,86,47.66,-52.73,28.4,14.99
39,mahebourg,40,MU,1518300000,94,-20.41,57.7,77.0,1.12
40,puerto ayora,20,EC,1518300000,62,-0.74,-90.35,84.2,8.05
41,broken hill,68,AU,1518301517,56,-31.97,141.45,75.46,9.86
42,barahona,40,DO,1518300000,61,18.21,-71.1,82.4,18.34
43,cabo san lucas,5,MX,1518298860,34,22.89,-109.91,80.6,16.11
44,port alfred,92,ZA,1518301401,91,-33.59,26.89,68.94,10.98
45,dikson,88,RU,1518301518,91,73.51,80.55,22.77,27.31
46,atuona,88,PF,1518301519,100,-9.8,-139.03,78.48,12.77
47,barrow,0,AR,1518301519,28,-38.31,-60.23,70.96,18.81
48,blumberg,75,DE,1518299400,90,47.84,8.53,33.8,2.24
49,yar-sale,20,RU,1518301520,86,66.83,70.83,-5.41,6.4
50,saint-philippe,90,CA,1518300540,85,45.36,-73.48,23.0,2.24
51,coihaique,40,CL,1518296400,41,-45.58,-72.07,59.0,9.17
52,yaan,44,NG,1518301521,83,7.38,8.57,78.07,11.77
53,tazovskiy,56,RU,1518301521,77,67.47,78.7,3.1,5.61
54,jamestown,68,AU,1518301522,95,-33.21,138.6,60.34,6.62
55,point pleasant,90,US,1518299760,93,40.08,-74.07,53.6,4.7
56,amalapuram,48,IN,1518301522,84,16.58,82.0,71.59,2.71
57,corinto,56,BR,1518301523,77,-18.36,-44.46,78.16,6.51
58,sitka,68,US,1518301523,51,37.17,-99.65,22.9,10.87
59,aloleng,64,PH,1518301523,100,16.13,119.78,75.64,2.93
